FIPS,actual_state,actual_county,GHI,Wind Speed,Temperature_fahrenheit,Temperature,predicted,state,county,type
1001,AL,Autauga,194.0182241,0.728616418,65.70837376,18.72687431,6093,CA,Siskiyou,solar
1003,AL,Baldwin,193.8814111,1.860677323,69.03540606,20.57522559,48351,TX,Newton,wind
1005,AL,Barbour,197.6501059,0.145906538,66.74106441,19.30059134,48373,TX,Polk,wind
1007,AL,Bibb,189.3360956,0.178415685,65.60161344,18.66756302,6045,CA,Mendocino,solar
1009,AL,Blount,186.6949527,0.261525458,63.99449199,17.77471777,6091,CA,Sierra,solar
1011,AL,Bullock,196.4972172,0.081408703,66.7719723,19.31776239,48199,TX,Hardin,wind
1013,AL,Butler,194.9967403,0.111955725,67.09300844,19.4961158,48199,TX,Hardin,wind
1015,AL,Calhoun,188.1025604,0.285577024,64.02825619,17.79347566,6091,CA,Sierra,solar
1017,AL,Chambers,194.2470969,0.13682713,64.95239813,18.30688785,48373,TX,Polk,wind
1019,AL,Cherokee,188.253293,0.328082011,63.02188963,17.23438313,6035,CA,Lassen,solar
1021,AL,Chilton,191.9295587,0.216312804,65.12635215,18.40352897,6091,CA,Sierra,solar
1023,AL,Choctaw,188.0825042,0.055422187,66.00167584,18.88981991,48199,TX,Hardin,wind
1025,AL,Clarke,192.9114359,0.080773329,66.42381657,19.12434254,48199,TX,Hardin,wind
1027,AL,Clay,191.2486796,0.16948258,63.4981681,17.49898228,6045,CA,Mendocino,solar
1029,AL,Cleburne,188.4905519,0.169374093,63.26276315,17.36820175,6045,CA,Mendocino,solar
1031,AL,Coffee,197.9656186,0.349925275,68.0084051,20.0046695,6035,CA,Lassen,solar
1033,AL,Colbert,183.8999968,0.78469374,61.68815591,16.49341995,6109,CA,Tuolumne,solar
1035,AL,Conecuh,196.1181094,0.051595622,67.64201609,19.80112005,48199,TX,Hardin,wind
1037,AL,Coosa,191.8018476,0.242469785,65.30213383,18.50118546,6091,CA,Sierra,solar
1039,AL,Covington,196.492995,0.560287005,68.01702827,20.00946015,6017,CA,El Dorado,solar
1041,AL,Crenshaw,195.1771271,0.171040387,67.48366926,19.71314959,6045,CA,Mendocino,solar
1043,AL,Cullman,186.3452434,0.208904143,62.99858329,17.22143516,6091,CA,Sierra,solar
